Kera	NN
untuk	SC
amankan	VB
pesta olahraga	NN

Pemerintah	NNP
kota	NNP
Delhi	NNP
mengerahkan	VB
monyet	NN
untuk	SC
mengusir	VB
monyet-monyet	NN
lain	JJ
yang	SC
berbadan	VB
lebih	RB
kecil	JJ
dari	IN
arena	NN
Pesta Olahraga	NNP
Persemakmuran	NNP
.	Z

Beberapa	CD
laporan	NN
menyebutkan	VB
setidaknya	RB
10	CD
monyet	NN
ditempatkan	VB
di	IN
luar	NN
arena	NN
lomba	NN
dan	CC
pertandingan	NN
di	IN
ibukota	NNP
India	NNP
.	Z

Pemkot	NNP
Delhi	NNP
memiliki	VB
28	CD
monyet	NN
dan	CC
berencana	VB
mendatangkan	VB
10	CD
monyet	NN
sejenis	NN
dari	IN
negara bagian	NNP
Rajasthan	NNP
.	Z

Jumlah	NN
monyet	NN
di	IN
ibukota	NNP
India	NNP
mencapai	VB
ribuan	CD
,	Z
sebagian besar	NN
berada	VB
di	IN
kantor-kantor	NN
pemerintah	NN
dan	CC
hewan	NN
ini	PR
dianggap	VB
mengganggu	VB
ketertiban	NN
umum	JJ
.	Z

Jenis	NN
monyet	NN
yang	SC
dikerahkan	VB
pemkot	NN
berbadan	VB
besar	JJ
,	Z
berekor	VB
panjang	JJ
,	Z
dan	CC
memiliki	VB
wajah	NN
berwarna	VB
hitam	JJ
.	Z

Monyet	NN
ini	PR
diikat	VB
dengan	IN
tali	NN
panjang	JJ
dan	CC
pelatih	NN
yang	SC
mengawasi	VB
mereka	PRP
akan	MD
melepas	VB
tali	NN
begitu	SC
monyet-monyet	NN
kecil	JJ
lain	JJ
mendekat	VB
.	Z

Kantor	NNP
berita	NNP
AFP	NNP
melaporkan	VB
stadion	NN
tinju	NN
dan	CC
hockey	FW
mendapatkan	VB
perhatian	NN
khusus	JJ
karena	SC
sering	RB
diserbu	VB
monyet	NN
.	Z

Monyet	NN
besar	JJ
akan	MD
dikerahkan	VB
di	IN
dua	CD
stadion	NN
untuk	SC
mengusir	VB
serbuan	NN
monyet	NN
kecil	JJ

"	Z
Monyet	NN
besar	JJ
akan	MD
dikerahkan	VB
di	IN
dua	CD
stadion	NN
tersebut	PR
untuk	SC
mengusir	VB
serbuan	NN
monyet	NN
kecil	JJ
,	Z
"	Z
kata	VB
Devender	NNP
Prasad	NNP
,	Z
pejabat	NN
pemerintah	NNP
kota	NNP
Delhi	NNP
kepada	IN
kantor berita	NNP
AFP	NNP
.	Z

Selama	IN
bertahun-tahun	CD
monyet	NN
mengganggu	VB
warga	NN
Delhi	NNP
.	Z

Binatang	NN
ini	PR
menaiki	VB
kereta	NN
metro	NN
dan	CC
bahkan	RB
berkeliaran	VB
di	IN
kompleks	NN
gedung	NN
parlemen	NN
.	Z

Belum	NEG
lama	JJ
ini	PR
kawanan	NN
monyet	NN
menyerbu	VB
kantor	NN
perdana menteri	NN
dan	CC
departemen	NN
pertahanan	NN
.	Z

Binatang	NN
ini	PR
tidak	NEG
bisa	MD
dibunuh	VB
karena	SC
masyarakat	NN
India	NNP
menganggap	VB
mereka	PRP
suci	JJ
.	Z

Selain	CC
harus	MD
mengusir	VB
kawanan	NN
monyet	NN
,	Z
pemkot	NNP
Delhi	NNP
juga	RB
kesulitan	VB
mengatasi	VB
wabah	NN
demam berdarah	NN
.	Z

Curah	NN
hujan	NN
yang	SC
tinggi	JJ
menyebabkan	VB
banyak	CD
genangan	NN
,	Z
tempat	NN
ideal	JJ
bagi	IN
nyamuk	NN
aedes	NNP
berkembang biak	VB
.	Z

Pemkot	NN
telah	MD
menempatkan	VB
ikan	NN
di	IN
berbagai	CD
genangan	NN
air	NN
untuk	SC
memangsa	VB
telur	NN
nyamuk	NN
.	Z

Miliarder	NN
AS	NNP
jamu	VB
orang kaya	NN
Cina	NNP

Dua	CD
miliarder	NN
Amerika	NNP
Bill	NNP
Gates	NNP
dan	CC
Warren	NNP
Buffett	NNP
akan	MD
mengadakan	VB
jamuan	NN
makan malam	NN
di	IN
Beijing	NNP
bagi	IN
sejumlah	CD
orang	NN
terkaya	JJ
di	IN
Cina	NNP
.	Z

Gates	NNP
dan	CC
Buffett	NNP
mengatakan	VB
mereka	PRP
berada	VB
di	IN
Cina	NNP
untuk	SC
mempelajari	VB
kegiatan	NN
amal	NN
di	IN
negara	NN
itu	PR
.	Z

Banyak	CD
orang	NN
menduga	VB
mereka	PRP
ingin	RB
membujuk	VB
para	DT
tamu	NN
agar	SC
lebih	RB
banyak	CD
menyumbang	VB
untuk	IN
amal	NN
.	Z

Kedua	CD
orang	NN
terkaya	JJ
dunia	NN
itu	PR
sudah	MD
berhasil	VB
membujuk	VB
banyak	CD
orang	NN
yang	SC
sangat	RB
kaya	JJ
di	IN
Amerika	NNP
agar	SC
menyumbangkan	VB
separuh	CD
kekayaan	NN
mereka	PRP
.	Z

Ada	VB
kerahasiaan	NN
mengenai	IN
acara	NN
itu	PR
,	Z
pihak	NN
penyelenggara	NN
tidak	NEG
membeberkan	VB
nama-nama	NN
tamu	NN
.	Z

Salah satu	CD
orang	NN
yang	SC
akan	MD
menghadiri	VB
jamuan	NN
makan malam	NN
itu	PR
adalah	VB
Chen	NNP
Guangbiao	NNP
,	Z
seorang	NND
miliarder	NN
yang	SC
meraup	VB
kekayaan	NN
dari	IN
bisnis	NN
mendaur ulang	VB
sampah	NN
dari	IN
industri	NN
bangunan	NN
.	Z
